Time,Idc_bat_Discharge,Vdc_bat_Discharge
161,1058.347185,363.99655
161.5,1058.328222,363.99554
162,1058.321943,363.99448
162.5,1058.351742,363.99332
163,1058.34015,363.99228
163.5,1058.366673,363.99112
164,1058.41134,363.9899
164.5,1058.382066,363.9889
165,1058.371986,363.98785
165.5,1058.480115,363.98645
166,1058.531124,363.98523
166.5,1058.531628,363.98416
167,1058.484987,363.98325
167.5,1058.477805,363.98218
168,1058.53146,363.98096
168.5,1058.54091,363.97986
169,1058.563044,363.9787
169.5,1058.56422,363.97763
170,1058.556492,363.9766
170.5,1058.56212,363.9755
171,1058.605275,363.9743
171.5,1058.60349,363.97324
172,1058.694,363.9719
172.5,1058.73096,363.97073
173,1058.727348,363.96967
173.5,1058.78829,363.9684
174,1058.752674,363.96744
174.5,1058.762796,363.9663
175,1058.773632,363.9652
175.5,1058.72718,363.9643
176,1058.723505,363.96323
176.5,1058.739276,363.9621
177,1058.673336,363.96124
177.5,1058.662437,363.96017
178,1058.660064,363.9591
178.5,1058.698704,363.95792
179,1058.689737,363.95688
179.5,1058.703072,363.95578
180,1058.721258,363.95465
180.5,1058.700237,363.95364
181,1058.679804,363.95264
181.5,1058.756328,363.95132
182,1058.781885,363.95016
182.5,1058.836758,363.94894
183,1058.784447,363.94803
183.5,1058.740683,363.9471
184,1058.727222,363.94608
184.5,1058.763174,363.94492
185,1058.75952,363.94385
185.5,1058.690766,363.943
186,1058.66586,363.942
186.5,1058.667435,363.9409
187,1058.631987,363.9399
187.5,1058.648535,363.9388
188,1058.629047,363.9378
188.5,1058.59404,363.93683
189,1058.531628,363.93594
189.5,1058.52306,363.9349
190,1058.479716,363.93396
190.5,1058.474928,363.9329
191,1058.47455,363.93182
191.5,1058.488956,363.9307
192,1058.452815,363.92975
192.5,1058.416653,363.9288
193,1058.480178,363.92755
193.5,1058.483055,363.92645
194,1058.488767,363.92535
194.5,1058.586165,363.924
195,1058.603742,363.92288
195.5,1058.581356,363.9219
196,1058.599815,363.92075
196.5,1058.514786,363.91995
197,1058.506827,363.9189
197.5,1058.532216,363.91776
198,1058.45292,363.91693
198.5,1058.33574,363.91623
199,1058.29626,363.9153
199.5,1058.290275,363.91428
200,1058.232084,363.91336
200.5,1058.2509,363.91223
201,1058.262156,363.91135
201.5,1058.268498,363.91025
202,1058.266566,363.90918
202.5,1058.278935,363.90808
203,1058.31537,363.90692
203.5,1058.293047,363.9059
204,1058.285928,363.90488
204.5,1058.282715,363.9038
205,1058.280405,363.90277
205.5,1058.253105,363.9018
206,1058.279586,363.90063
206.5,1058.298675,363.89954
207,1058.311107,363.89844
207.5,1058.280678,363.89746
208,1058.219778,363.89658
208.5,1058.2047,363.89557
209,1058.202033,363.8945
209.5,1058.239518,363.8933
210,1058.252412,363.8922
210.5,1058.246385,363.89114
211,1058.18811,363.89026
211.5,1058.17908,363.88925
212,1058.191197,363.88812
212.5,1058.21898,363.887
213,1058.202033,363.88596
213.5,1058.244075,363.8848
214,1058.257158,363.8837
214.5,1058.255226,363.88263
215,1058.279838,363.88147
215.5,1058.303925,363.88034
216,1058.30193,363.87927
216.5,1058.271186,363.8783
217,1058.28702,363.8772
217.5,1058.269317,363.8762
218,1058.25069,363.87515
218.5,1058.232147,363.87415
219,1058.27568,363.87296
219.5,1058.335593,363.8717
220,1058.351994,363.8706
220.5,1058.3853,363.86945
221,1058.415435,363.8683
221.5,1058.40945,363.86725
222,1058.44956,363.8661
222.5,1058.451534,363.86502
223,1058.438703,363.86398
223.5,1058.471463,363.86282
224,1058.490615,363.86172
224.5,1058.47623,363.86072
225,1058.54154,363.85944
225.5,1058.57346,363.85828
226,1058.603805,363.85712
226.5,1058.632575,363.85596
227,1058.652,363.85483
227.5,1058.70849,363.8536
228,1058.655066,363.8527
228.5,1058.636166,363.85168
229,1058.664285,363.85052
229.5,1058.631546,363.84958
230,1058.68497,363.84836
230.5,1058.6604,363.84735
231,1058.590974,363.84653
231.5,1058.594313,363.84543
232,1058.561553,363.84448
232.5,1058.563422,363.8434
233,1058.605275,363.84222
233.5,1058.631357,363.8411
234,1058.625015,363.84006
234.5,1058.59173,363.83908
235,1058.597526,363.83798
235.5,1058.638203,363.83682
236,1058.642193,363.83572
236.5,1058.612583,363.83478
237,1058.56968,363.83386
237.5,1058.638014,363.83258
238,1058.619828,363.83157
238.5,1058.601936,363.83057
239,1058.60517,363.8295
239.5,1058.60307,363.82843
240,1058.591037,363.8274
240.5,1058.618148,363.82623
241,1058.646666,363.8251
241.5,1058.58963,363.8242
242,1058.569953,363.8232
242.5,1058.56422,363.82214
243,1058.52033,363.82123
243.5,1058.436393,363.8204
244,1058.423898,363.8194
244.5,1058.407497,363.8184
245,1058.403276,363.81735
245.5,1058.400903,363.81628
246,1058.374296,363.8153
246.5,1058.391285,363.8142
247,1058.430114,363.81302
247.5,1058.542338,363.8116
248,1058.46867,363.8108
248.5,1058.486646,363.8097
249,1058.484,363.80862
249.5,1058.42961,363.80774
250,1058.438703,363.80664
250.5,1058.441853,363.80557
251,1058.411277,363.80463
251.5,1058.351238,363.80377
252,1058.303106,363.80286
252.5,1058.285403,363.80185
253,1058.16648,363.80115
253.5,1058.198253,363.8
254,1058.221584,363.79883
254.5,1058.204784,363.79782
255,1058.192352,363.7968
255.5,1058.189538,363.79578
256,1058.164296,363.7948
256.5,1058.177295,363.7937
257,1058.19042,363.79282
257.5,1058.198127,363.79175
258,1058.196132,363.79068
258.5,1058.193822,363.78964
259,1058.14758,363.78873
259.5,1058.175825,363.7876
260,1058.19315,363.78647
260.5,1058.148777,363.78555
261,1058.169168,363.78445
261.5,1058.155056,363.78342
262,1058.114946,363.7825
262.5,1058.15556,363.7813
263,1058.115135,363.78036
