Time,Battery inverter.Idc_bat,Battery inverter.Vdc_bat
193.5,-1229.9918,363.7232
194,-1229.9867,363.72437
194.5,-1229.9847,363.72552
195,-1229.9669,363.72656
195.5,-1229.9742,363.72766
196,-1229.996,363.7289
196.5,-1230.0164,363.7301
197,-1230.017,363.7312
197.5,-1230.0768,363.73273
198,-1230.1227,363.73416
198.5,-1230.1375,363.73544
199,-1230.1337,363.7367
199.5,-1230.1097,363.73773
200,-1230.1191,363.73883
200.5,-1230.0994,363.73984
201,-1230.1241,363.74115
201.5,-1230.1224,363.7424
202,-1230.1476,363.74356
202.5,-1230.1511,363.74457
203,-1230.1519,363.74567
203.5,-1230.1483,363.7468
204,-1230.1311,363.74792
204.5,-1230.1068,363.74887
205,-1230.1106,363.75003
205.5,-1230.107,363.75107
206,-1230.1047,363.7522
206.5,-1230.1431,363.75363
207,-1230.1263,363.7555
207.5,-1230.1041,363.75662
208,-1230.1016,363.75797
208.5,-1230.0986,363.75903
209,-1230.0991,363.76
209.5,-1230.1257,363.76132
210,-1230.1326,363.76266
210.5,-1230.1497,363.76376
211,-1230.1776,363.76498
211.5,-1230.1777,363.76624
212,-1230.1903,363.76755
212.5,-1230.2377,363.76892
213,-1230.2344,363.77002
213.5,-1230.2144,363.77118
214,-1230.215,363.7723
214.5,-1230.2202,363.77347
215,-1230.2518,363.77466
215.5,-1230.2413,363.7757
216,-1230.237,363.77664
216.5,-1230.2389,363.77774
217,-1230.2407,363.77887
217.5,-1230.2427,363.78
218,-1230.257,363.7811
218.5,-1230.2631,363.7822
219,-1230.3002,363.78333
219.5,-1230.2809,363.78458
220,-1230.2582,363.78564
220.5,-1230.2731,363.7868
221,-1230.2747,363.78787
221.5,-1230.2578,363.78888
222,-1230.2477,363.7902
222.5,-1230.2375,363.79117
223,-1230.257,363.79236
223.5,-1230.2622,363.7935
224,-1230.2789,363.7947
224.5,-1230.2478,363.79578
225,-1230.2057,363.79684
225.5,-1230.1818,363.79767
226,-1230.1829,363.7988
226.5,-1230.1696,363.79977
227,-1230.1608,363.8009
227.5,-1230.1483,363.8021
228,-1230.0985,363.80295
228.5,-1230.1027,363.80405
229,-1230.1246,363.8052
229.5,-1230.1327,363.80624
230,-1230.127,363.80737
230.5,-1230.069,363.8082
231,-1230.1062,363.8092
231.5,-1230.1233,363.81027
232,-1230.1256,363.81137
232.5,-1230.1368,363.81262
233,-1230.1057,363.81332
233.5,-1230.104,363.8144
234,-1230.0583,363.8151
234.5,-1230.0583,363.81622
235,-1230.0702,363.81714
235.5,-1230.0625,363.81827
236,-1230.0525,363.8194
236.5,-1230.0626,363.82065
237,-1230.1123,363.82184
237.5,-1230.1515,363.82312
238,-1230.1545,363.82422
238.5,-1230.1636,363.82538
239,-1230.1819,363.82654
239.5,-1230.1952,363.8277
240,-1230.2134,363.82886
240.5,-1230.2001,363.82986
241,-1230.207,363.83102
241.5,-1230.2019,363.83212
242,-1230.1906,363.8332
242.5,-1230.1686,363.83405
243,-1230.1649,363.83508
243.5,-1230.1438,363.83627
244,-1230.1394,363.8373
244.5,-1230.0923,363.8382
245,-1230.0756,363.83914
245.5,-1230.1007,363.8403
246,-1230.1055,363.84155
246.5,-1230.1002,363.84268
247,-1230.0922,363.84375
247.5,-1230.079,363.84482
248,-1230.0593,363.84595
248.5,-1230.0814,363.8472
249,-1230.1101,363.84845
249.5,-1230.1141,363.84955
250,-1230.1434,363.85068
250.5,-1230.161,363.8518
251,-1230.2256,363.85327
251.5,-1230.2494,363.85455
252,-1230.2668,363.85587
252.5,-1230.2881,363.85703
253,-1230.3008,363.85815
253.5,-1230.3514,363.85934
254,-1230.3259,363.86044
254.5,-1230.3009,363.86154
255,-1230.2863,363.8626
